sha256,duplicate_count,filename,extension,relative_path,canonical
085743c6d169bb38ab32ac9c430d798c036c96fc024dc66e988d6cfc70284d71,4,CONTEST 27.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 27.docx,True
085743c6d169bb38ab32ac9c430d798c036c96fc024dc66e988d6cfc70284d71,4,Copy of CONTEST 27.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 27.docx,False
085743c6d169bb38ab32ac9c430d798c036c96fc024dc66e988d6cfc70284d71,4,CONTEST 27.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 27.docx,False
085743c6d169bb38ab32ac9c430d798c036c96fc024dc66e988d6cfc70284d71,4,CONTEST 27.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 27.docx,False
a005abe2517195bfdb754fbaf5f372df45d6b43cdd05073bf0737ef043449641,4,CONTEST 3.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 3.docx,True
a005abe2517195bfdb754fbaf5f372df45d6b43cdd05073bf0737ef043449641,4,Copy of CONTEST 3.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 3.docx,False
a005abe2517195bfdb754fbaf5f372df45d6b43cdd05073bf0737ef043449641,4,CONTEST 3.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 3.docx,False
a005abe2517195bfdb754fbaf5f372df45d6b43cdd05073bf0737ef043449641,4,CONTEST 3.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 3.docx,False
5b04e66e333ce9a6262bb0b78f07e882a10233c9743663dea39f07c6c230da9f,4,CONTEST 5.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 5.docx,True
5b04e66e333ce9a6262bb0b78f07e882a10233c9743663dea39f07c6c230da9f,4,Copy of CONTEST 5.docx,.docx,SMQ BIBLES\NSMQ 2014 Questions\Copy of CONTEST 5.docx,False
5b04e66e333ce9a6262bb0b78f07e882a10233c9743663dea39f07c6c230da9f,4,CONTEST 5.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\CONTEST 5.docx,False
5b04e66e333ce9a6262bb0b78f07e882a10233c9743663dea39f07c6c230da9f,4,CONTEST 5.docx,.docx,SMQ BIBLES\NSMQ 2014\CHEMISTRY\Chemistry Questions\Quiz 2014 Nat Prelim\CONTEST 5.docx,False
0a72b5ba8a9f6bc0386388bff139a5f08f1ae1e73bb2144cf8fb5596135ac017,4,CONTEST 6.docx,.docx,SMQ BIBLES\NSMQ 2014\CONTEST 6.docx,True
